time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0.0100002,4.3828,2.46282,-2.3488,4.38057,2.46054,-2.33729,4.38057,2.46054,-2.33729,4.38057,2.46054,-2.33729,0.00319172,0.011508,0.003192,0.011508,0.00319172,0.011508
0.0610001,4.38276,2.46282,-2.3488,4.37868,2.45857,-2.32743,4.37867,2.45857,-2.32743,4.37868,2.45857,-2.32743,0.00589464,0.021372,0.00589683,0.021372,0.00589465,0.021372
0.0780001,4.38272,2.4628,-2.3488,4.37857,2.45846,-2.32688,4.37857,2.45846,-2.32688,4.37857,2.45846,-2.32688,0.00601095,0.02192,0.00601328,0.02192,0.00601095,0.02192
0.092,4.38279,2.46284,-2.3488,4.37743,2.45724,-2.32085,4.37742,2.45724,-2.32085,4.37743,2.45724,-2.32085,0.00775262,0.027948,0.00775658,0.027948,0.00775263,0.027948
0.113,4.38276,2.46286,-2.3488,4.37526,2.4549,-2.30934,4.37525,2.4549,-2.30934,4.37526,2.4549,-2.30934,0.0109342,0.039456,0.0109417,0.039456,0.0109342,0.039456
0.144,4.38278,2.46285,-2.3487,4.3748,2.4544,-2.30688,4.37479,2.45439,-2.30688,4.3748,2.4544,-2.30688,0.0116301,0.041822,0.0116387,0.041822,0.0116301,0.041822
0.164,4.38277,2.46285,-2.3487,4.37307,2.45248,-2.29756,4.37306,2.45247,-2.29756,4.37307,2.45248,-2.29756,0.0141953,0.051138,0.0142082,0.051138,0.0141953,0.051138
0.195,4.38279,2.46283,-2.3488,4.37196,2.45123,-2.29153,4.37195,2.45122,-2.29153,4.37196,2.45123,-2.29153,0.0158625,0.057266,0.0158787,0.057266,0.0158625,0.057266
0.209,4.38279,2.46282,-2.3488,4.37186,2.45112,-2.29099,4.37185,2.45111,-2.29099,4.37186,2.45112,-2.29099,0.0160067,0.0578141,0.0160232,0.0578141,0.0160067,0.0578141
0.225,4.38276,2.46284,-2.3487,4.36932,2.44821,-2.27701,4.3693,2.44819,-2.27701,4.36932,2.44821,-2.27701,0.0198691,0.071688,0.0198941,0.071688,0.0198692,0.071688
0.276,4.38275,2.46283,-2.3485,4.3676,2.44618,-2.26742,4.36758,2.44616,-2.26742,4.3676,2.44618,-2.26742,0.0225021,0.081078,0.0225349,0.081078,0.0225022,0.081078
0.307,4.38246,2.46272,-2.3433,4.36659,2.44496,-2.26167,4.36656,2.44493,-2.26167,4.36659,2.44496,-2.26167,0.0238173,0.081632,0.0238552,0.081632,0.0238174,0.081632
0.318,4.38227,2.46262,-2.3409,4.36644,2.44479,-2.26085,4.36641,2.44476,-2.26085,4.36644,2.44479,-2.26085,0.0238494,0.080054,0.0238881,0.080054,0.0238495,0.080054
0.338,4.38132,2.46166,-2.3295,4.36385,2.44162,-2.24618,4.36381,2.44158,-2.24618,4.36385,2.44162,-2.24618,0.0265877,0.083317,0.0266402,0.083317,0.0265878,0.083317
0.389,4.38112,2.46138,-2.3279,4.36234,2.43973,-2.23756,4.3623,2.43968,-2.23756,4.36234,2.43973,-2.23756,0.028662,0.090335,0.0287245,0.090335,0.0286622,0.090335
0.419,4.37993,2.46007,-2.3171,4.36126,2.43836,-2.2314,4.36122,2.43831,-2.2314,4.36126,2.43836,-2.2314,0.0286337,0.085699,0.0287038,0.085699,0.028634,0.085699
0.45,4.37968,2.45981,-2.314,4.35927,2.43579,-2.21997,4.35922,2.43572,-2.21997,4.35927,2.43579,-2.21997,0.0315198,0.094031,0.0316048,0.094031,0.0315201,0.094031
